PERPETUAL_DOGEUSDT,DOGE-USDT-SWAP
PERPETUAL_BANDUSDT,BAND-USDT-SWAP
PERPETUAL_WAVESUSDT,WAVES-USDT-SWAP
PERPETUAL_MKRUSDT,MKR-USDT-SWAP
PERPETUAL_SNXUSDT,SNX-USDT-SWAP
PERPETUAL_DOTUSDT,DOT-USDT-SWAP
PERPETUAL_YFIUSDT,YFI-USDT-SWAP
PERPETUAL_BALUSDT,BAL-USDT-SWAP
PERPETUAL_CRVUSDT,CRV-USDT-SWAP
PERPETUAL_TRBUSDT,TRB-USDT-SWAP
PERPETUAL_SUSHIUSDT,SUSHI-USDT-SWAP
PERPETUAL_EGLDUSDT,EGLD-USDT-SWAP
PERPETUAL_SOLUSDT,SOL-USDT-SWAP
PERPETUAL_STORJUSDT,STORJ-USDT-SWAP
PERPETUAL_UNIUSDT,UNI-USDT-SWAP
PERPETUAL_AVAXUSDT,AVAX-USDT-SWAP
PERPETUAL_FTMUSDT,FTM-USDT-SWAP
PERPETUAL_FLMUSDT,FLM-USDT-SWAP
PERPETUAL_RENUSDT,REN-USDT-SWAP
PERPETUAL_KSMUSDT,KSM-USDT-SWAP
PERPETUAL_NEARUSDT,NEAR-USDT-SWAP
PERPETUAL_AAVEUSDT,AAVE-USDT-SWAP
PERPETUAL_FILUSDT,FIL-USDT-SWAP
PERPETUAL_RSRUSDT,RSR-USDT-SWAP
PERPETUAL_LRCUSDT,LRC-USDT-SWAP
PERPETUAL_MATICUSDT,MATIC-USDT-SWAP
PERPETUAL_CVCUSDT,CVC-USDT-SWAP
PERPETUAL_AXSUSDT,AXS-USDT-SWAP
PERPETUAL_ALPHAUSDT,ALPHA-USDT-SWAP
PERPETUAL_ZENUSDT,ZEN-USDT-SWAP
PERPETUAL_GRTUSDT,GRT-USDT-SWAP
PERPETUAL_1INCHUSDT,1INCH-USDT-SWAP
PERPETUAL_CHZUSDT,CHZ-USDT-SWAP
PERPETUAL_SANDUSDT,SAND-USDT-SWAP
PERPETUAL_RVNUSDT,RVN-USDT-SWAP
PERPETUAL_MANAUSDT,MANA-USDT-SWAP
PERPETUAL_HBARUSDT,HBAR-USDT-SWAP
PERPETUAL_MASKUSDT,MASK-USDT-SWAP
PERPETUAL_DYDXUSDT,DYDX-USDT-SWAP
PERPETUAL_GALAUSDT,GALA-USDT-SWAP
PERPETUAL_CELOUSDT,CELO-USDT-SWAP
PERPETUAL_ARUSDT,AR-USDT-SWAP
PERPETUAL_KLAYUSDT,KLAY-USDT-SWAP
PERPETUAL_LPTUSDT,LPT-USDT-SWAP
PERPETUAL_ENSUSDT,ENS-USDT-SWAP
PERPETUAL_PEOPLEUSDT,PEOPLE-USDT-SWAP
PERPETUAL_ANTUSDT,ANT-USDT-SWAP
PERPETUAL_IMXUSDT,IMX-USDT-SWAP
PERPETUAL_API3USDT,API3-USDT-SWAP
PERPETUAL_GMTUSDT,GMT-USDT-SWAP
PERPETUAL_APEUSDT,APE-USDT-SWAP
PERPETUAL_WOOUSDT,WOO-USDT-SWAP
PERPETUAL_OPUSDT,OP-USDT-SWAP
PERPETUAL_LDOUSDT,LDO-USDT-SWAP
PERPETUAL_ICPUSDT,ICP-USDT-SWAP
PERPETUAL_APTUSDT,APT-USDT-SWAP
PERPETUAL_MAGICUSDT,MAGIC-USDT-SWAP
PERPETUAL_RNDRUSDT,RNDR-USDT-SWAP
PERPETUAL_MINAUSDT,MINA-USDT-SWAP
PERPETUAL_GMXUSDT,GMX-USDT-SWAP
PERPETUAL_CFXUSDT,CFX-USDT-SWAP
PERPETUAL_STXUSDT,STX-USDT-SWAP
PERPETUAL_PERPUSDT,PERP-USDT-SWAP
PERPETUAL_USDCUSDT,USDC-USDT-SWAP
PERPETUAL_ARBUSDT,ARB-USDT-SWAP
PERPETUAL_RDNTUSDT,RDNT-USDT-SWAP
PERPETUAL_BLURUSDT,BLUR-USDT-SWAP
PERPETUAL_SUIUSDT,SUI-USDT-SWAP
PERPETUAL_UMAUSDT,UMA-USDT-SWAP
PERPETUAL_WLDUSDT,WLD-USDT-SWAP
PERPETUAL_AGLDUSDT,AGLD-USDT-SWAP
PERPETUAL_YGGUSDT,YGG-USDT-SWAP
PERPETUAL_BNTUSDT,BNT-USDT-SWAP
PERPETUAL_FRONTUSDT,FRONT-USDT-SWAP
PERPETUAL_BICOUSDT,BICO-USDT-SWAP
PERPETUAL_BIGTIMEUSDT,BIGTIME-USDT-SWAP
PERPETUAL_ORBSUSDT,ORBS-USDT-SWAP
PERPETUAL_WAXPUSDT,WAXP-USDT-SWAP
PERPETUAL_BSVUSDT,BSV-USDT-SWAP
PERPETUAL_BTCUSDT_231229,BTC-USD-231229
PERPETUAL_ETHUSDT_231229,ETH-USD-231229
PERPETUAL_BTCUSDT_240329,BTC-USD-240329
PERPETUAL_ETHUSDT_240329,ETH-USD-240329
